序号,时间戳,帧类型,帧格式,状态,数据长度, 数据(D0 - D7),ID,
3157,23:04:20.6638403,标准帧,数据帧,接收,8,80 00 00 00 00 00 07 EC,3,
3158,23:04:20.6638403,标准帧,数据帧,接收,6,93 D0 9E 37 42 07,35,
3159,23:04:20.6638403,标准帧,数据帧,接收,8,80 00 00 00 00 00 0D EC,3,
3160,23:04:20.6638403,标准帧,数据帧,接收,6,93 51 8F CD 41 0D,35,
3161,23:04:20.6638403,标准帧,数据帧,接收,8,80 00 00 00 00 00 0E EC,3,
3162,23:04:20.6638403,标准帧,数据帧,接收,6,93 C3 43 12 42 0E,35,
3163,23:04:20.6638403,标准帧,数据帧,接收,8,80 00 00 00 00 00 0F EC,3,
3164,23:04:20.6638403,标准帧,数据帧,接收,6,93 60 63 DC BF 0F,35,
3165,23:04:20.6698382,标准帧,数据帧,接收,8,80 00 00 00 00 00 10 EC,3,
3166,23:04:20.6698382,标准帧,数据帧,接收,6,93 7A EF 9C BA 10,35,
3167,23:04:20.6698382,标准帧,数据帧,接收,8,80 00 00 00 00 00 11 EC,3,
3168,23:04:20.6698382,标准帧,数据帧,接收,6,93 FB A5 A1 C0 11,35,
3169,23:04:20.7268635,标准帧,数据帧,接收,8,80 00 00 00 00 00 01 EC,3,
3170,23:04:20.7268635,标准帧,数据帧,接收,6,93 00 00 00 00 01,35,
3171,23:04:20.7268635,标准帧,数据帧,接收,8,80 00 00 00 00 00 07 EC,3,
3172,23:04:20.7268635,标准帧,数据帧,接收,6,93 D0 9E 37 42 07,35,
3173,23:04:20.7268635,标准帧,数据帧,接收,8,80 00 00 00 00 00 0D EC,3,
3174,23:04:20.7268635,标准帧,数据帧,接收,6,93 51 8F CD 41 0D,35,
3175,23:04:20.7268635,标准帧,数据帧,接收,8,80 00 00 00 00 00 0E EC,3,
3176,23:04:20.7268635,标准帧,数据帧,接收,6,93 AC 57 12 42 0E,35,
3177,23:04:20.7268635,标准帧,数据帧,接收,8,80 00 00 00 00 00 0F EC,3,
3178,23:04:20.7268635,标准帧,数据帧,接收,6,93 F6 63 DC BF 0F,35,
3179,23:04:20.7329066,标准帧,数据帧,接收,8,80 00 00 00 00 00 10 EC,3,
3180,23:04:20.7329066,标准帧,数据帧,接收,6,93 03 94 C3 BB 10,35,
3181,23:04:20.7329066,标准帧,数据帧,接收,8,80 00 00 00 00 00 11 EC,3,
3182,23:04:20.7329066,标准帧,数据帧,接收,6,93 87 B6 A6 C0 11,35,
3183,23:04:20.7909033,标准帧,数据帧,接收,8,80 00 00 00 00 00 01 EC,3,
3184,23:04:20.7909033,标准帧,数据帧,接收,6,93 00 00 00 00 01,35,
3185,23:04:20.7909033,标准帧,数据帧,接收,8,80 00 00 00 00 00 07 EC,3,
3186,23:04:20.7909033,标准帧,数据帧,接收,6,93 21 A8 37 42 07,35,
3187,23:04:20.7909033,标准帧,数据帧,接收,8,80 00 00 00 00 00 0D EC,3,
3188,23:04:20.7909033,标准帧,数据帧,接收,6,93 51 8F CD 41 0D,35,
3189,23:04:20.7909033,标准帧,数据帧,接收,8,80 00 00 00 00 00 0E EC,3,
3190,23:04:20.7909033,标准帧,数据帧,接收,6,93 76 6B 12 42 0E,35,
3191,23:04:20.7909033,标准帧,数据帧,接收,8,80 00 00 00 00 00 0F EC,3,
3192,23:04:20.7909033,标准帧,数据帧,接收,6,93 60 63 DC BF 0F,35,
3193,23:04:20.7909033,标准帧,数据帧,接收,8,80 00 00 00 00 00 10 EC,3,
3194,23:04:20.7909033,标准帧,数据帧,接收,6,93 CE E1 59 BC 10,35,
3195,23:04:20.7909033,标准帧,数据帧,接收,8,80 00 00 00 00 00 11 EC,3,
3196,23:04:20.7909033,标准帧,数据帧,接收,6,93 43 52 9A C0 11,35,
3197,23:04:20.8650438,标准帧,数据帧,接收,8,80 00 00 00 00 00 01 EC,3,
3198,23:04:20.8650438,标准帧,数据帧,接收,6,93 00 00 00 00 01,35,
3199,23:04:20.8650438,标准帧,数据帧,接收,8,80 00 00 00 00 00 07 EC,3,
3200,23:04:20.8650438,标准帧,数据帧,接收,6,93 CA AC 37 42 07,35,
3201,23:04:20.8650438,标准帧,数据帧,接收,8,80 00 00 00 00 00 0D EC,3,
3202,23:04:20.8650438,标准帧,数据帧,接收,6,93 51 8F CD 41 0D,35,
3203,23:04:20.8650438,标准帧,数据帧,接收,8,80 00 00 00 00 00 0E EC,3,
3204,23:04:20.8650438,标准帧,数据帧,接收,6,93 AA 7E 12 42 0E,35,
3205,23:04:20.8650438,标准帧,数据帧,接收,8,80 00 00 00 00 00 0F EC,3,
3206,23:04:20.8650438,标准帧,数据帧,接收,6,93 60 63 DC BF 0F,35,
3207,23:04:20.8650438,标准帧,数据帧,接收,8,80 00 00 00 00 00 10 EC,3,
3208,23:04:20.8650438,标准帧,数据帧,接收,6,93 DD 9C AF 3C 10,35,
3209,23:04:20.8650438,标准帧,数据帧,接收,8,80 00 00 00 00 00 11 EC,3,
3210,23:04:20.8650438,标准帧,数据帧,接收,6,93 99 12 A4 C0 11,35,
3211,23:04:20.9151166,标准帧,数据帧,接收,8,80 00 00 00 00 00 01 EC,3,
3212,23:04:20.9151166,标准帧,数据帧,接收,6,93 00 00 00 00 01,35,
3213,23:04:20.9151166,标准帧,数据帧,接收,8,80 00 00 00 00 00 07 EC,3,
3214,23:04:20.9151166,标准帧,数据帧,接收,6,93 1E AF 37 42 07,35,
3215,23:04:20.9151166,标准帧,数据帧,接收,8,80 00 00 00 00 00 0D EC,3,
3216,23:04:20.9151166,标准帧,数据帧,接收,6,93 51 8F CD 41 0D,35,
3217,23:04:20.9151166,标准帧,数据帧,接收,8,80 00 00 00 00 00 0E EC,3,
3218,23:04:20.9151166,标准帧,数据帧,接收,6,93 7F 91 12 42 0E,35,
3219,23:04:20.9200504,标准帧,数据帧,接收,8,80 00 00 00 00 00 0F EC,3,
3220,23:04:20.9200504,标准帧,数据帧,接收,6,93 F6 63 DC BF 0F,35,
3221,23:04:20.9200504,标准帧,数据帧,接收,8,80 00 00 00 00 00 10 EC,3,
3222,23:04:20.9200504,标准帧,数据帧,接收,6,93 95 DC F1 3B 10,35,
3223,23:04:20.9200504,标准帧,数据帧,接收,8,80 00 00 00 00 00 11 EC,3,
3224,23:04:20.9200504,标准帧,数据帧,接收,6,93 3F E4 A1 C0 11,35,
3225,23:04:20.9760563,标准帧,数据帧,接收,8,80 00 00 00 00 00 01 EC,3,
3226,23:04:20.9760563,标准帧,数据帧,接收,6,93 00 00 00 00 01,35,
3227,23:04:20.9760563,标准帧,数据帧,接收,8,80 00 00 00 00 00 07 EC,3,
3228,23:04:20.9760563,标准帧,数据帧,接收,6,93 48 B0 37 42 07,35,
3229,23:04:20.9760563,标准帧,数据帧,接收,8,80 00 00 00 00 00 0D EC,3,
3230,23:04:20.9760563,标准帧,数据帧,接收,6,93 51 8F CD 41 0D,35,
3231,23:04:20.9821132,标准帧,数据帧,接收,8,80 00 00 00 00 00 0E EC,3,
3232,23:04:20.9821132,标准帧,数据帧,接收,6,93 93 A4 12 42 0E,35,
3233,23:04:20.9821132,标准帧,数据帧,接收,8,80 00 00 00 00 00 0F EC,3,
3234,23:04:20.9821132,标准帧,数据帧,接收,6,93 F6 63 DC BF 0F,35,
3235,23:04:20.9821132,标准帧,数据帧,接收,8,80 00 00 00 00 00 10 EC,3,
3236,23:04:20.9821132,标准帧,数据帧,接收,6,93 22 C3 72 BB 10,35,
3237,23:04:20.9821132,标准帧,数据帧,接收,8,80 00 00 00 00 00 11 EC,3,
3238,23:04:20.9821132,标准帧,数据帧,接收,6,93 ED 9D AB C0 11,35,
3239,23:04:21.0526026,标准帧,数据帧,接收,8,80 00 00 00 00 00 01 EC,3,
3240,23:04:21.0526026,标准帧,数据帧,接收,6,93 00 00 00 00 01,35,
3241,23:04:21.0526026,标准帧,数据帧,接收,8,80 00 00 00 00 00 07 EC,3,
3242,23:04:21.0526026,标准帧,数据帧,接收,6,93 DD B0 37 42 07,35,
3243,23:04:21.0526026,标准帧,数据帧,接收,8,80 00 00 00 00 00 0D EC,3,
3244,23:04:21.0526026,标准帧,数据帧,接收,6,93 51 8F CD 41 0D,35,
3245,23:04:21.0526026,标准帧,数据帧,接收,8,80 00 00 00 00 00 0E EC,3,
3246,23:04:21.0526026,标准帧,数据帧,接收,6,93 13 B8 12 42 0E,35,
3247,23:04:21.0526026,标准帧,数据帧,接收,8,80 00 00 00 00 00 0F EC,3,
3248,23:04:21.0526026,标准帧,数据帧,接收,6,93 24 65 DC BF 0F,35,
3249,23:04:21.0526026,标准帧,数据帧,接收,8,80 00 00 00 00 00 10 EC,3,
3250,23:04:21.0526026,标准帧,数据帧,接收,6,93 64 A9 33 BA 10,35,
3251,23:04:21.0526026,标准帧,数据帧,接收,8,80 00 00 00 00 00 11 EC,3,
3252,23:04:21.0526026,标准帧,数据帧,接收,6,93 78 99 98 C0 11,35,
3253,23:04:21.1160027,标准帧,数据帧,接收,8,80 00 00 00 00 00 01 EC,3,
3254,23:04:21.1160027,标准帧,数据帧,接收,6,93 00 00 00 00 01,35,
3255,23:04:21.1160027,标准帧,数据帧,接收,8,80 00 00 00 00 00 07 EC,3,
3256,23:04:21.1160027,标准帧,数据帧,接收,6,93 28 B1 37 42 07,35,
3257,23:04:21.1160027,标准帧,数据帧,接收,8,80 00 00 00 00 00 0D EC,3,
3258,23:04:21.1160027,标准帧,数据帧,接收,6,93 51 8F CD 41 0D,35,
3259,23:04:21.1160027,标准帧,数据帧,接收,8,80 00 00 00 00 00 0E EC,3,
3260,23:04:21.1160027,标准帧,数据帧,接收,6,93 DE CA 12 42 0E,35,
3261,23:04:21.1160027,标准帧,数据帧,接收,8,80 00 00 00 00 00 0F EC,3,
3262,23:04:21.1160027,标准帧,数据帧,接收,6,93 24 65 DC BF 0F,35,
3263,23:04:21.1160027,标准帧,数据帧,接收,8,80 00 00 00 00 00 10 EC,3,
3264,23:04:21.1160027,标准帧,数据帧,接收,6,93 6A ED FA 39 10,35,
3265,23:04:21.1160027,标准帧,数据帧,接收,8,80 00 00 00 00 00 11 EC,3,
3266,23:04:21.1160027,标准帧,数据帧,接收,6,93 40 41 B7 C0 11,35,
3267,23:04:21.1668832,标准帧,数据帧,接收,8,80 00 00 00 00 00 01 EC,3,
3268,23:04:21.1668832,标准帧,数据帧,接收,6,93 00 00 00 00 01,35,
3269,23:04:21.1668832,标准帧,数据帧,接收,8,80 00 00 00 00 00 07 EC,3,
3270,23:04:21.1668832,标准帧,数据帧,接收,6,93 28 B1 37 42 07,35,
3271,23:04:21.1668832,标准帧,数据帧,接收,8,80 00 00 00 00 00 0D EC,3,
3272,23:04:21.1692838,标准帧,数据帧,接收,6,93 51 8F CD 41 0D,35,
3273,23:04:21.1692838,标准帧,数据帧,接收,8,80 00 00 00 00 00 0E EC,3,
3274,23:04:21.1692838,标准帧,数据帧,接收,6,93 A3 DD 12 42 0E,35,
3275,23:04:21.1692838,标准帧,数据帧,接收,8,80 00 00 00 00 00 0F EC,3,
3276,23:04:21.1692838,标准帧,数据帧,接收,6,93 24 65 DC BF 0F,35,
3277,23:04:21.1692838,标准帧,数据帧,接收,8,80 00 00 00 00 00 10 EC,3,
3278,23:04:21.1692838,标准帧,数据帧,接收,6,93 03 3F 08 BC 10,35,
3279,23:04:21.1692838,标准帧,数据帧,接收,8,80 00 00 00 00 00 11 EC,3,
3280,23:04:21.1692838,标准帧,数据帧,接收,6,93 BE 71 9D C0 11,35,
3281,23:04:21.2428695,标准帧,数据帧,接收,8,80 00 00 00 00 00 01 EC,3,
3282,23:04:21.2428695,标准帧,数据帧,接收,8,80 00 00 00 00 00 07 EC,3,
3283,23:04:21.2428695,标准帧,数据帧,接收,6,93 00 00 00 00 01,35,
3284,23:04:21.2428695,标准帧,数据帧,接收,6,93 4D B1 37 42 07,35,
3285,23:04:21.2428695,标准帧,数据帧,接收,8,80 00 00 00 00 00 0D EC,3,
3286,23:04:21.2428695,标准帧,数据帧,接收,6,93 51 8F CD 41 0D,35,
3287,23:04:21.2428695,标准帧,数据帧,接收,8,80 00 00 00 00 00 0E EC,3,
3288,23:04:21.2428695,标准帧,数据帧,接收,6,93 F5 EF 12 42 0E,35,
3289,23:04:21.2428695,标准帧,数据帧,接收,8,80 00 00 00 00 00 0F EC,3,
3290,23:04:21.2428695,标准帧,数据帧,接收,6,93 F6 63 DC BF 0F,35,
3291,23:04:21.2428695,标准帧,数据帧,接收,8,80 00 00 00 00 00 10 EC,3,
3292,23:04:21.2428695,标准帧,数据帧,接收,6,93 28 8B 02 BC 10,35,
3293,23:04:21.2428695,标准帧,数据帧,接收,8,80 00 00 00 00 00 11 EC,3,
3294,23:04:21.2428695,标准帧,数据帧,接收,6,93 27 00 9B C0 11,35,
3295,23:04:21.2896876,标准帧,数据帧,接收,8,80 00 00 00 00 00 01 EC,3,
3296,23:04:21.2896876,标准帧,数据帧,接收,6,93 00 00 00 00 01,35,
3297,23:04:21.2896876,标准帧,数据帧,接收,8,80 00 00 00 00 00 07 EC,3,
3298,23:04:21.2896876,标准帧,数据帧,接收,6,93 60 B1 37 42 07,35,
3299,23:04:21.2896876,标准帧,数据帧,接收,8,80 00 00 00 00 00 0D EC,3,
3300,23:04:21.2896876,标准帧,数据帧,接收,6,93 51 8F CD 41 0D,35,
3301,23:04:21.2896876,标准帧,数据帧,接收,8,80 00 00 00 00 00 0E EC,3,
3302,23:04:21.2896876,标准帧,数据帧,接收,6,93 40 02 13 42 0E,35,
3303,23:04:21.2957299,标准帧,数据帧,接收,8,80 00 00 00 00 00 0F EC,3,
3304,23:04:21.2957299,标准帧,数据帧,接收,6,93 F6 63 DC BF 0F,35,
3305,23:04:21.2957299,标准帧,数据帧,接收,8,80 00 00 00 00 00 10 EC,3,
3306,23:04:21.2957299,标准帧,数据帧,接收,6,93 81 EB 82 3C 10,35,
3307,23:04:21.2957299,标准帧,数据帧,接收,8,80 00 00 00 00 00 11 EC,3,
3308,23:04:21.2957299,标准帧,数据帧,接收,6,93 7E 34 93 C0 11,35,
3309,23:04:21.3670015,标准帧,数据帧,接收,8,80 00 00 00 00 00 01 EC,3,
3310,23:04:21.3670015,标准帧,数据帧,接收,6,93 00 00 00 00 01,35,
3311,23:04:21.3670015,标准帧,数据帧,接收,8,80 00 00 00 00 00 07 EC,3,
3312,23:04:21.3670015,标准帧,数据帧,接收,6,93 69 B1 37 42 07,35,
3313,23:04:21.3670015,标准帧,数据帧,接收,8,80 00 00 00 00 00 0D EC,3,
3314,23:04:21.3670015,标准帧,数据帧,接收,6,93 51 8F CD 41 0D,35,
3315,23:04:21.3670015,标准帧,数据帧,接收,8,80 00 00 00 00 00 0E EC,3,
3316,23:04:21.3670015,标准帧,数据帧,接收,6,93 7C 14 13 42 0E,35,
3317,23:04:21.3670015,标准帧,数据帧,接收,8,80 00 00 00 00 00 0F EC,3,
3318,23:04:21.3670015,标准帧,数据帧,接收,6,93 8E 64 DC BF 0F,35,
3319,23:04:21.3670015,标准帧,数据帧,接收,8,80 00 00 00 00 00 10 EC,3,
3320,23:04:21.3670015,标准帧,数据帧,接收,6,93 46 85 22 3C 10,35,
3321,23:04:21.3670015,标准帧,数据帧,接收,8,80 00 00 00 00 00 11 EC,3,
3322,23:04:21.3670015,标准帧,数据帧,接收,6,93 2A 3B 89 C0 11,35,
3323,23:04:21.4161229,标准帧,数据帧,接收,8,80 00 00 00 00 00 01 EC,3,
3324,23:04:21.4161229,标准帧,数据帧,接收,6,93 00 00 00 00 01,35,
3325,23:04:21.4161229,标准帧,数据帧,接收,8,80 00 00 00 00 00 07 EC,3,
3326,23:04:21.4161229,标准帧,数据帧,接收,6,93 6E B1 37 42 07,35,
3327,23:04:21.4161229,标准帧,数据帧,接收,8,80 00 00 00 00 00 0D EC,3,
3328,23:04:21.4161229,标准帧,数据帧,接收,6,93 51 8F CD 41 0D,35,
3329,23:04:21.4161229,标准帧,数据帧,接收,8,80 00 00 00 00 00 0E EC,3,
3330,23:04:21.4161229,标准帧,数据帧,接收,6,93 C0 26 13 42 0E,35,
3331,23:04:21.4191850,标准帧,数据帧,接收,8,80 00 00 00 00 00 0F EC,3,
3332,23:04:21.4191850,标准帧,数据帧,接收,6,93 60 63 DC BF 0F,35,
3333,23:04:21.4191850,标准帧,数据帧,接收,8,80 00 00 00 00 00 10 EC,3,
3334,23:04:21.4191850,标准帧,数据帧,接收,6,93 B8 51 F4 3A 10,35,
3335,23:04:21.4191850,标准帧,数据帧,接收,8,80 00 00 00 00 00 11 EC,3,
3336,23:04:21.4191850,标准帧,数据帧,接收,6,93 67 C6 A0 C0 11,35,
3337,23:04:21.4776644,标准帧,数据帧,接收,8,80 00 00 00 00 00 01 EC,3,
3338,23:04:21.4776644,标准帧,数据帧,接收,6,93 00 00 00 00 01,35,
3339,23:04:21.4776644,标准帧,数据帧,接收,8,80 00 00 00 00 00 07 EC,3,
3340,23:04:21.4776644,标准帧,数据帧,接收,6,93 70 B1 37 42 07,35,
3341,23:04:21.4776644,标准帧,数据帧,接收,8,80 00 00 00 00 00 0D EC,3,
3342,23:04:21.4776644,标准帧,数据帧,接收,6,93 51 8F CD 41 0D,35,
3343,23:04:21.4776644,标准帧,数据帧,接收,8,80 00 00 00 00 00 0E EC,3,
3344,23:04:21.4776644,标准帧,数据帧,接收,6,93 28 39 13 42 0E,35,
3345,23:04:21.4816497,标准帧,数据帧,接收,8,80 00 00 00 00 00 0F EC,3,
3346,23:04:21.4816497,标准帧,数据帧,接收,6,93 51 66 DC BF 0F,35,
3347,23:04:21.4816497,标准帧,数据帧,接收,8,80 00 00 00 00 00 10 EC,3,
3348,23:04:21.4816497,标准帧,数据帧,接收,6,93 DF C8 AF BB 10,35,
3349,23:04:21.4816497,标准帧,数据帧,接收,8,80 00 00 00 00 00 11 EC,3,
3350,23:04:21.4816497,标准帧,数据帧,接收,6,93 71 9B 90 C0 11,35,
3351,23:04:21.5532909,标准帧,数据帧,接收,8,80 00 00 00 00 00 01 EC,3,
3352,23:04:21.5532909,标准帧,数据帧,接收,6,93 00 00 00 00 01,35,
3353,23:04:21.5532909,标准帧,数据帧,接收,8,80 00 00 00 00 00 07 EC,3,
3354,23:04:21.5532909,标准帧,数据帧,接收,6,93 71 B1 37 42 07,35,
3355,23:04:21.5532909,标准帧,数据帧,接收,8,80 00 00 00 00 00 0D EC,3,
3356,23:04:21.5532909,标准帧,数据帧,接收,6,93 51 8F CD 41 0D,35,
3357,23:04:21.5532909,标准帧,数据帧,接收,8,80 00 00 00 00 00 0E EC,3,
3358,23:04:21.5532909,标准帧,数据帧,接收,6,93 9A 4B 13 42 0E,35,
3359,23:04:21.5532909,标准帧,数据帧,接收,8,80 00 00 00 00 00 0F EC,3,
3360,23:04:21.5532909,标准帧,数据帧,接收,6,93 24 65 DC BF 0F,35,
3361,23:04:21.5532909,标准帧,数据帧,接收,8,80 00 00 00 00 00 10 EC,3,
3362,23:04:21.5532909,标准帧,数据帧,接收,6,93 A7 29 DE BB 10,35,
3363,23:04:21.5532909,标准帧,数据帧,接收,8,80 00 00 00 00 00 11 EC,3,
3364,23:04:21.5532909,标准帧,数据帧,接收,6,93 6B E5 9A C0 11,35,
3365,23:04:21.6128008,标准帧,数据帧,接收,8,80 00 00 00 00 00 01 EC,3,
3366,23:04:21.6128008,标准帧,数据帧,接收,6,93 00 00 00 00 01,35,
3367,23:04:21.6128008,标准帧,数据帧,接收,8,80 00 00 00 00 00 07 EC,3,
3368,23:04:21.6128008,标准帧,数据帧,接收,6,93 71 B1 37 42 07,35,
3369,23:04:21.6128008,标准帧,数据帧,接收,8,80 00 00 00 00 00 0D EC,3,
3370,23:04:21.6128008,标准帧,数据帧,接收,6,93 51 8F CD 41 0D,35,
3371,23:04:21.6128008,标准帧,数据帧,接收,8,80 00 00 00 00 00 0E EC,3,
3372,23:04:21.6128008,标准帧,数据帧,接收,6,93 79 5D 13 42 0E,35,
3373,23:04:21.6128008,标准帧,数据帧,接收,8,80 00 00 00 00 00 0F EC,3,
3374,23:04:21.6128008,标准帧,数据帧,接收,6,93 8E 64 DC BF 0F,35,
3375,23:04:21.6128008,标准帧,数据帧,接收,8,80 00 00 00 00 00 10 EC,3,
3376,23:04:21.6128008,标准帧,数据帧,接收,6,93 C1 93 4C 3C 10,35,
3377,23:04:21.6128008,标准帧,数据帧,接收,8,80 00 00 00 00 00 11 EC,3,
3378,23:04:21.6128008,标准帧,数据帧,接收,6,93 37 08 A0 C0 11,35,
3379,23:04:21.6646691,标准帧,数据帧,接收,8,80 00 00 00 00 00 01 EC,3,
3380,23:04:21.6646691,标准帧,数据帧,接收,6,93 00 00 00 00 01,35,
3381,23:04:21.6646691,标准帧,数据帧,接收,8,80 00 00 00 00 00 07 EC,3,
3382,23:04:21.6646691,标准帧,数据帧,接收,6,93 72 B1 37 42 07,35,
3383,23:04:21.6706844,标准帧,数据帧,接收,8,80 00 00 00 00 00 0D EC,3,
3384,23:04:21.6706844,标准帧,数据帧,接收,6,93 51 8F CD 41 0D,35,
3385,23:04:21.6706844,标准帧,数据帧,接收,8,80 00 00 00 00 00 0E EC,3,
3386,23:04:21.6706844,标准帧,数据帧,接收,6,93 6C 6F 13 42 0E,35,
3387,23:04:21.6706844,标准帧,数据帧,接收,8,80 00 00 00 00 00 0F EC,3,
3388,23:04:21.6706844,标准帧,数据帧,接收,8,80 00 00 00 00 00 10 EC,3,
3389,23:04:21.6706844,标准帧,数据帧,接收,6,93 24 65 DC BF 0F,35,
3390,23:04:21.6706844,标准帧,数据帧,接收,6,93 41 C8 DC 3A 10,35,
3391,23:04:21.6706844,标准帧,数据帧,接收,8,80 00 00 00 00 00 11 EC,3,
3392,23:04:21.6706844,标准帧,数据帧,接收,6,93 85 E5 81 C0 11,35,
3393,23:04:21.7286788,标准帧,数据帧,接收,8,80 00 00 00 00 00 01 EC,3,
3394,23:04:21.7286788,标准帧,数据帧,接收,6,93 00 00 00 00 01,35,
3395,23:04:21.7286788,标准帧,数据帧,接收,8,80 00 00 00 00 00 07 EC,3,
3396,23:04:21.7286788,标准帧,数据帧,接收,6,93 72 B1 37 42 07,35,
3397,23:04:21.7286788,标准帧,数据帧,接收,8,80 00 00 00 00 00 0D EC,3,
3398,23:04:21.7286788,标准帧,数据帧,接收,6,93 51 8F CD 41 0D,35,
3399,23:04:21.7286788,标准帧,数据帧,接收,8,80 00 00 00 00 00 0E EC,3,
3400,23:04:21.7286788,标准帧,数据帧,接收,6,93 21 81 13 42 0E,35,
3401,23:04:21.7286788,标准帧,数据帧,接收,8,80 00 00 00 00 00 0F EC,3,
3402,23:04:21.7286788,标准帧,数据帧,接收,6,93 24 65 DC BF 0F,35,
3403,23:04:21.7286788,标准帧,数据帧,接收,8,80 00 00 00 00 00 10 EC,3,
3404,23:04:21.7286788,标准帧,数据帧,接收,6,93 B2 94 29 3C 10,35,
3405,23:04:21.7286788,标准帧,数据帧,接收,8,80 00 00 00 00 00 11 EC,3,
3406,23:04:21.7286788,标准帧,数据帧,接收,6,93 F5 BB AE C0 11,35,
3407,23:04:21.7876811,标准帧,数据帧,接收,8,80 00 00 00 00 00 01 EC,3,
3408,23:04:21.7876811,标准帧,数据帧,接收,6,93 00 00 00 00 01,35,
3409,23:04:21.7876811,标准帧,数据帧,接收,8,80 00 00 00 00 00 07 EC,3,
3410,23:04:21.7876811,标准帧,数据帧,接收,6,93 72 B1 37 42 07,35,
3411,23:04:21.7876811,标准帧,数据帧,接收,8,80 00 00 00 00 00 0D EC,3,
3412,23:04:21.7876811,标准帧,数据帧,接收,6,93 51 8F CD 41 0D,35,
3413,23:04:21.7876811,标准帧,数据帧,接收,8,80 00 00 00 00 00 0E EC,3,
3414,23:04:21.7936846,标准帧,数据帧,接收,6,93 0E 92 13 42 0E,35,
3415,23:04:21.7936846,标准帧,数据帧,接收,8,80 00 00 00 00 00 0F EC,3,
3416,23:04:21.7936846,标准帧,数据帧,接收,6,93 7F 67 DC BF 0F,35,
3417,23:04:21.7936846,标准帧,数据帧,接收,8,80 00 00 00 00 00 10 EC,3,
3418,23:04:21.7936846,标准帧,数据帧,接收,8,80 00 00 00 00 00 11 EC,3,
3419,23:04:21.7936846,标准帧,数据帧,接收,6,93 C1 21 85 BB 10,35,
3420,23:04:21.7936846,标准帧,数据帧,接收,6,93 B0 75 A0 C0 11,35,
3421,23:04:21.8511963,标准帧,数据帧,接收,8,80 00 00 00 00 00 01 EC,3,
3422,23:04:21.8511963,标准帧,数据帧,接收,6,93 00 00 00 00 01,35,
3423,23:04:21.8511963,标准帧,数据帧,接收,8,80 00 00 00 00 00 07 EC,3,
3424,23:04:21.8511963,标准帧,数据帧,接收,6,93 72 B1 37 42 07,35,
3425,23:04:21.8511963,标准帧,数据帧,接收,8,80 00 00 00 00 00 0D EC,3,
3426,23:04:21.8511963,标准帧,数据帧,接收,6,93 51 8F CD 41 0D,35,
3427,23:04:21.8542608,标准帧,数据帧,接收,8,80 00 00 00 00 00 0E EC,3,
3428,23:04:21.8542608,标准帧,数据帧,接收,6,93 4C A3 13 42 0E,35,
3429,23:04:21.8542608,标准帧,数据帧,接收,8,80 00 00 00 00 00 0F EC,3,
3430,23:04:21.8542608,标准帧,数据帧,接收,6,93 BB 65 DC BF 0F,35,
3431,23:04:21.8542608,标准帧,数据帧,接收,8,80 00 00 00 00 00 10 EC,3,
3432,23:04:21.8542608,标准帧,数据帧,接收,6,93 0B B7 13 BC 10,35,
3433,23:04:21.8542608,标准帧,数据帧,接收,8,80 00 00 00 00 00 11 EC,3,
3434,23:04:21.8542608,标准帧,数据帧,接收,6,93 EA 31 B7 C0 11,35,
3435,23:04:21.9130782,标准帧,数据帧,接收,8,80 00 00 00 00 00 01 EC,3,
3436,23:04:21.9130782,标准帧,数据帧,接收,6,93 00 00 00 00 01,35,
3437,23:04:21.9130782,标准帧,数据帧,接收,8,80 00 00 00 00 00 07 EC,3,
3438,23:04:21.9130782,标准帧,数据帧,接收,6,93 72 B1 37 42 07,35,
3439,23:04:21.9130782,标准帧,数据帧,接收,8,80 00 00 00 00 00 0D EC,3,
3440,23:04:21.9130782,标准帧,数据帧,接收,6,93 51 8F CD 41 0D,35,
3441,23:04:21.9130782,标准帧,数据帧,接收,8,80 00 00 00 00 00 0E EC,3,
3442,23:04:21.9130782,标准帧,数据帧,接收,6,93 2A B4 13 42 0E,35,
3443,23:04:21.9170830,标准帧,数据帧,接收,8,80 00 00 00 00 00 0F EC,3,
3444,23:04:21.9170830,标准帧,数据帧,接收,6,93 BB 65 DC BF 0F,35,
3445,23:04:21.9170830,标准帧,数据帧,接收,8,80 00 00 00 00 00 10 EC,3,
3446,23:04:21.9170830,标准帧,数据帧,接收,6,93 0F 23 42 3C 10,35,
3447,23:04:21.9170830,标准帧,数据帧,接收,8,80 00 00 00 00 00 11 EC,3,
3448,23:04:21.9170830,标准帧,数据帧,接收,6,93 63 A2 A1 C0 11,35,
3449,23:04:21.9994785,标准帧,数据帧,接收,8,80 00 00 00 00 00 01 EC,3,
3450,23:04:21.9994785,标准帧,数据帧,接收,6,93 00 00 00 00 01,35,
3451,23:04:21.9994785,标准帧,数据帧,接收,8,80 00 00 00 00 00 07 EC,3,
3452,23:04:21.9994785,标准帧,数据帧,接收,6,93 72 B1 37 42 07,35,
3453,23:04:21.9994785,标准帧,数据帧,接收,8,80 00 00 00 00 00 0D EC,3,
3454,23:04:21.9994785,标准帧,数据帧,接收,6,93 51 8F CD 41 0D,35,
3455,23:04:21.9994785,标准帧,数据帧,接收,8,80 00 00 00 00 00 0E EC,3,
3456,23:04:21.9994785,标准帧,数据帧,接收,6,93 88 C9 13 42 0E,35,
3457,23:04:21.9994785,标准帧,数据帧,接收,8,80 00 00 00 00 00 0F EC,3,
